timestamp,ghi,dni,dhi,temp_air,wind_speed
2022-01-01T00:00:00,0.0,0.0,0.0,15.0,2.0
2022-01-01T01:00:00,104.421,73.095,31.326,15.01,2.01
2022-01-01T02:00:00,207.055,144.939,62.117,15.01,2.01
2022-01-01T03:00:00,306.147,214.303,91.844,15.02,2.02
2022-01-01T04:00:00,400.0,280.0,120.0,15.03,2.03
2022-01-01T05:00:00,487.009,340.906,146.103,15.04,2.04
2022-01-01T06:00:00,565.685,395.98,169.706,15.04,2.04
2022-01-01T07:00:00,634.683,444.278,190.405,15.05,2.05
2022-01-01T08:00:00,692.82,484.974,207.846,15.06,2.06
2022-01-01T09:00:00,739.104,517.373,221.731,15.06,2.06
2022-01-01T10:00:00,772.741,540.918,231.822,15.07,2.07
2022-01-01T11:00:00,793.156,555.209,237.947,15.08,2.08
2022-01-01T12:00:00,800.0,560.0,240.0,15.09,2.09
2022-01-01T13:00:00,793.156,555.209,237.947,15.09,2.09
2022-01-01T14:00:00,772.741,540.918,231.822,15.1,2.1
2022-01-01T15:00:00,739.104,517.373,221.731,15.11,2.11
2022-01-01T16:00:00,692.82,484.974,207.846,15.11,2.11
2022-01-01T17:00:00,634.683,444.278,190.405,15.12,2.12
2022-01-01T18:00:00,565.685,395.98,169.706,15.13,2.13
2022-01-01T19:00:00,487.009,340.906,146.103,15.14,2.14
2022-01-01T20:00:00,400.0,280.0,120.0,15.14,2.14
2022-01-01T21:00:00,306.147,214.303,91.844,15.15,2.15
2022-01-01T22:00:00,207.055,144.939,62.117,15.16,2.16
2022-01-01T23:00:00,104.421,73.095,31.326,15.16,2.16
2022-01-02T00:00:00,0.0,0.0,0.0,15.17,2.17
2022-01-02T01:00:00,104.421,73.095,31.326,15.18,2.18
2022-01-02T02:00:00,207.055,144.939,62.117,15.19,2.19
2022-01-02T03:00:00,306.147,214.303,91.844,15.19,2.19
2022-01-02T04:00:00,400.0,280.0,120.0,15.2,2.2
2022-01-02T05:00:00,487.009,340.906,146.103,15.21,2.21
2022-01-02T06:00:00,565.685,395.98,169.706,15.22,2.21
2022-01-02T07:00:00,634.683,444.278,190.405,15.22,2.22
2022-01-02T08:00:00,692.82,484.974,207.846,15.23,2.23
2022-01-02T09:00:00,739.104,517.373,221.731,15.24,2.23
2022-01-02T10:00:00,772.741,540.918,231.822,15.24,2.24
2022-01-02T11:00:00,793.156,555.209,237.947,15.25,2.25
2022-01-02T12:00:00,800.0,560.0,240.0,15.26,2.26
2022-01-02T13:00:00,793.156,555.209,237.947,15.27,2.26
2022-01-02T14:00:00,772.741,540.918,231.822,15.27,2.27
2022-01-02T15:00:00,739.104,517.373,221.731,15.28,2.28
2022-01-02T16:00:00,692.82,484.974,207.846,15.29,2.28
2022-01-02T17:00:00,634.683,444.278,190.405,15.29,2.29
2022-01-02T18:00:00,565.685,395.98,169.706,15.3,2.3
2022-01-02T19:00:00,487.009,340.906,146.103,15.31,2.3
2022-01-02T20:00:00,400.0,280.0,120.0,15.32,2.31
2022-01-02T21:00:00,306.147,214.303,91.844,15.32,2.32
2022-01-02T22:00:00,207.055,144.939,62.117,15.33,2.32
2022-01-02T23:00:00,104.421,73.095,31.326,15.34,2.33
2022-01-03T00:00:00,0.0,0.0,0.0,15.34,2.34
2022-01-03T01:00:00,104.421,73.095,31.326,15.35,2.34
2022-01-03T02:00:00,207.055,144.939,62.117,15.36,2.35
2022-01-03T03:00:00,306.147,214.303,91.844,15.37,2.36
